topic,topic_cn,source_id,title,organization,year,evidence_class,evidence_class_cn,source_type,allowed_uses,url
measurement_quality,PPG/测量质量,tamura_2014_wearable_ppg_sensors_past_present,Wearable Photoplethysmographic Sensors - Past and Present,Electronics,2014,review,综述,review_pdf,signal_quality;research_background,https://www.mdpi.com/2079-9292/3/2/282
measurement_quality,PPG/测量质量,tamura_2019_current_progress_ppg_spo2,Current progress of photoplethysmography and SpO2 for health monitoring,Biomedical Engineering Letters,2019,review,综述,review_pdf,signal_quality;research_background,https://pmc.ncbi.nlm.nih.gov/articles/PMC6431353/
measurement_quality,PPG/测量质量,teng_2004_contact_force_ppg,The effect of contacting force on photoplethysmographic signals,Physiological Measurement,2004,research_context,研究背景,contact_force_study,signal_quality;research_background,https://pubmed.ncbi.nlm.nih.gov/15535195/
medication_safety,用药安全边界,aha_bp_medicines_patient,Types of Blood Pressure Medications,American Heart Association,2026,official_health_education,官方健康教育,patient_education,medication_safety;special_population,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/types-of-blood-pressure-medications
medication_safety,用药安全边界,fda_taking_medicines_safely,Tips for taking medicines safely,U.S. Food and Drug Administration,2026,official_health_education,官方健康教育,patient_education,medication_safety,https://www.fda.gov/drugs/resources-you-drugs/tips-taking-medicines-safely
medication_safety,用药安全边界,local_medication_safety_rule,Medication safety boundary rule,project,2026,safety_rule,项目安全规则,local_safety_rule,medication_safety;special_population,
medication_safety,用药安全边界,medlineplus_high_bp_medicines,High blood pressure medicines,MedlinePlus,2026,official_health_education,官方健康教育,patient_education,medication_safety;special_population,https://medlineplus.gov/highbloodpressuremedicines.html
medication_safety,用药安全边界,who_2021_hypertension_pharmacological_treatment_guideline,Guideline for the pharmacological treatment of hypertension in adults,World Health Organization,2021,guideline,指南,pharmacological_treatment_guideline,medication_safety;special_population;home_bp_monitoring,https://iris.who.int/bitstreams/f062769d-f075-4a00-87af-0a2106e0bd04/download
special_population,特殊人群,acog_preeclampsia_faq,Preeclampsia and High Blood Pressure During Pregnancy FAQ,American College of Obstetricians and Gynecologists,2026,official_health_education,官方健康教育,patient_education,special_population,https://www.acog.org/womens-health/faqs/preeclampsia-and-high-blood-pressure-during-pregnancy
special_population,特殊人群,ada_2026_standards_cvd_bp,Cardiovascular Disease and Risk Management - Standards of Care in Diabetes 2026,American Diabetes Association,2026,guideline,指南,guideline,special_population;medication_safety;home_bp_monitoring,https://pmc.ncbi.nlm.nih.gov/articles/PMC12690187/
special_population,特殊人群,ada_diabetes_bp,Diabetes and High Blood Pressure,American Diabetes Association,2026,official_health_education,官方健康教育,patient_education,special_population;lifestyle;home_bp_monitoring,https://diabetes.org/health-wellness/high-blood-pressure
special_population,特殊人群,aha_diabetes_high_bp,Diabetes and high blood pressure risk,American Heart Association,2026,official_health_education,官方健康教育,patient_education,special_population;lifestyle,https://www.heart.org/en/health-topics/diabetes/why-diabetes-matters/cardiovascular-disease--diabetes
special_population,特殊人群,aha_kidney_disease_high_bp,High Blood Pressure and Kidney Disease,American Heart Association,2026,official_health_education,官方健康教育,patient_education,special_population,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/high-blood-pressure-and-kidney-disease
special_population,特殊人群,aha_pregnancy_blood_pressure_categories,Blood Pressure Categories for Individuals who are Pregnant,American Heart Association,2025,official_health_education,官方健康教育,patient_education_pdf,special_population;emergency_alert;remeasurement,https://www.heart.org/-/media/GRFW-Files/Know-Your-Risk/Maternal-Health/Pregnancy_Blood_Pressure_Categories.pdf?sc_lang=en
special_population,特殊人群,aha_women_high_bp,Women and high blood pressure,American Heart Association,2026,official_health_education,官方健康教育,patient_education,special_population,https://www.heart.org/en/health-topics/high-blood-pressure/know-your-risk-factors-for-high-blood-pressure/women-and-high-blood-pressure
special_population,特殊人群,cdc_bp_pregnancy,High Blood Pressure During Pregnancy,Centers for Disease Control and Prevention,2026,official_health_education,官方健康教育,patient_education,special_population,https://www.cdc.gov/high-blood-pressure/about/high-blood-pressure-during-pregnancy.html
special_population,特殊人群,cdc_ckd_risk_factors,Chronic Kidney Disease Risk Factors,Centers for Disease Control and Prevention,2026,official_health_education,官方健康教育,patient_education,special_population,https://www.cdc.gov/kidney-disease/risk-factors/index.html
special_population,特殊人群,chinese_2023_elderly_hypertension_management_guideline,中国老年高血压管理指南2023,中国老年医学学会高血压分会 / 北京高血压防治协会,2023,guideline,指南,special_population_guideline,special_population;home_bp_monitoring;remeasurement;medication_safety,https://medtion-image.medtion.com/uploads/1/file/public/202312/20231222151125_hjo32b9lsf.pdf
special_population,特殊人群,chinese_2025_secondary_hypertension_screening_consensus,继发性高血压筛查和诊断中国专家共识,中国高血压联盟等,2025,guideline,指南,expert_consensus,special_population;home_bp_monitoring;disclaimer,https://bookcafe.yuntsg.com/ueditor/jsp/upload/file/20260117/1768636681085056202.pdf
special_population,特殊人群,kdigo_2024_ckd_guideline,KDIGO 2024 Clinical Practice Guideline for the Evaluation and Management of Chronic Kidney Disease,Kidney Disease - Improving Global Outcomes,2024,guideline,指南,guideline,special_population;medication_safety;home_bp_monitoring,https://kdigo.org/guidelines/ckd-evaluation-and-management/kdigo-2024-ckd-guideline/
special_population,特殊人群,local_special_population_rule,Special population conservative advice rule,project,2026,safety_rule,项目安全规则,local_safety_rule,special_population;medication_safety,
special_population,特殊人群,nhlbi_preeclampsia_pregnancy,Preeclampsia and High Blood Pressure During Pregnancy,"National Heart, Lung, and Blood Institute",2026,official_health_education,官方健康教育,patient_education,special_population,https://www.nhlbi.nih.gov/health/high-blood-pressure/pregnancy
special_population,特殊人群,nia_high_blood_pressure_older_adults,High Blood Pressure and Older Adults,National Institute on Aging,2026,official_health_education,官方健康教育,patient_education,special_population;home_bp_monitoring,https://www.nia.nih.gov/health/high-blood-pressure/high-blood-pressure-and-older-adults
special_population,特殊人群,nkf_high_bp_ckd,High Blood Pressure and Chronic Kidney Disease,National Kidney Foundation,2026,patient_education,患者教育,patient_education,special_population;home_bp_monitoring,https://www.kidney.org/kidney-topics/high-blood-pressure-and-chronic-kidney-disease
validated_devices,验证设备/设备注册表,aami_esh_iso_2018_universal_validation_standard,A universal standard for the validation of blood pressure measuring devices,AAMI / European Society of Hypertension / International Organization for Standardization,2018,validation_standard,验证标准/监管,validation_standard_pdf,device_advice;research_background,https://pmc.ncbi.nlm.nih.gov/articles/PMC5796427/
validated_devices,验证设备/设备注册表,bihs_validated_bp_monitors,Validated blood pressure monitors,British and Irish Hypertension Society,2026,official_health_education,官方健康教育,device_validation_registry,device_advice;home_bp_monitoring,https://bihsoc.org/bp-monitors/
validated_devices,验证设备/设备注册表,hypertension_canada_device_recommendations,Recommended blood pressure monitors,Hypertension Canada,2026,official_health_education,官方健康教育,device_validation_registry,device_advice;home_bp_monitoring,https://hypertension.ca/bpdevices
validated_devices,验证设备/设备注册表,iso_81060_2_validation_standard,ISO 81060-2:2018 Non-invasive sphygmomanometers clinical investigation,International Organization for Standardization,2018,validation_standard,验证标准/监管,standard_record,device_advice;research_background,https://www.iso.org/standard/73339.html
validated_devices,验证设备/设备注册表,stride_bp_validated_devices,STRIDE BP validated blood pressure monitors,STRIDE BP,2026,official_health_education,官方健康教育,device_validation_registry,device_advice;home_bp_monitoring,https://www.stridebp.org/bp-monitors
validated_devices,验证设备/设备注册表,validatebp_validated_devices,Validated Device Listing,ValidateBP,2026,official_health_education,官方健康教育,device_validation_registry,device_advice;home_bp_monitoring,https://www.validatebp.org/
validated_devices,验证设备/设备注册表,who_automated_cuff_bp_device_specs,Technical specifications for automated non-invasive blood pressure measuring devices with cuff,World Health Organization,2020,validation_standard,验证标准/监管,technical_specification,device_advice;home_bp_monitoring;signal_quality;research_background,https://www.who.int/publications/i/item/9789240002654
